Instance50-s2-04.dat
total Cost = 1499.819879
-----------------------Layer1--------------------
Cost(261.453606),Weight(12500.000000),Cust(1) 1 
Cost(370.288332),Weight(7706.000000),Cust(2) 1 2 

-----------------------Layer2--------------------
Cost=610.480344,Vehicles=3
Cost(124.422779),Weight(4610.000000),Cust(9) 46 18 27 44 2 10 26 47 48 
Cost(264.318461),Weight(4745.000000),Cust(13) 19 14 41 9 20 49 29 31 6 25 36 28 16 
Cost(221.739104),Weight(4903.000000),Cust(17) 38 12 45 37 1 43 17 7 15 8 4 40 42 33 23 24 11 

Cost=257.597596,Vehicles=2
Cost(192.546877),Weight(4639.000000),Cust(7) 39 32 35 50 22 3 13 
Cost(65.050719),Weight(1309.000000),Cust(4) 30 21 34 5 

