E-n22-k4-s13-14.dat 526.15
E-n22-k4-s13-16.dat 521.09
E-n22-k4-s13-17.dat 496.38
E-n22-k4-s14-19.dat 498.8
E-n22-k4-s17-19.dat 512.8
E-n22-k4-s19-21.dat 520.42
E-n33-k4-s16-22.dat 672.17
E-n33-k4-s16-24.dat 666.02
E-n33-k4-s19-26.dat 680.36
E-n33-k4-s22-26.dat 680.37
E-n33-k4-s24-28.dat 670.43
E-n33-k4-s25-28.dat 650.58
E-n51-k5-s12-18.dat 690.59
E-n51-k5-s12-41.dat 683.05
E-n51-k5-s12-43.dat 710.41
E-n51-k5-s39-41.dat 728.54
E-n51-k5-s40-41.dat 723.75
E-n51-k5-s40-43.dat 752.15
